Date,block,Transaction_value
2010-05-03,190,1600100000000
2010-05-04,182,2565012000000
2010-05-05,168,2585966000000
2010-05-06,178,2335101000000
2010-05-07,159,4044400000000
2010-05-08,185,2518026000000
2010-05-09,195,1702840000000
2010-05-10,161,1526378000000
2010-05-11,132,760015000000
2010-05-12,161,2802011000000
2010-05-13,170,1730778000000
2010-05-14,160,2186094000000
2010-05-15,115,777664000000
2010-05-16,133,808864000000
2010-05-17,182,1787648000000
2010-05-18,232,1782090000000
2010-05-19,219,2350461000000
2010-05-20,244,1398497000000
2010-05-21,239,4862596000000
2010-05-22,233,5442753000000
2010-05-23,322,3258836000000
2010-05-24,254,1565600000000
2010-05-25,257,1805000000000
2010-05-26,294,2799097000000
2010-05-27,275,2421151000000
2010-05-28,290,4055711000000
2010-05-29,248,5345100000000
2010-05-30,200,1291230000000
2010-05-31,199,1396100000000
2010-06-01,186,1389398000000
2010-06-02,198,1495728000000
2010-06-03,256,1727410000000
2010-06-04,176,3867735000000
2010-06-05,195,1355000000000
2010-06-06,202,1600331000000
2010-06-07,210,3504980000000
2010-06-08,225,1740100000000
2010-06-09,232,8069157000000
2010-06-10,227,3966563000000
2010-06-11,272,1872878000000
2010-06-12,223,2088110000000
2010-06-13,253,2283200000000
2010-06-14,292,5134102000000
2010-06-15,296,4502300000000
2010-06-16,203,3579908000000
2010-06-17,212,2908845000000
2010-06-18,197,1908668000000
2010-06-19,228,6587279000000
2010-06-20,240,3631801000000
2010-06-21,276,4570809000000
2010-06-22,247,3899864000000
2010-06-23,279,4889000000000
2010-06-24,255,4084637000000
2010-06-25,220,2681800000000
2010-06-26,209,6671974000000
2010-06-27,245,2146800000000
2010-06-28,247,5278505000000
2010-06-29,299,4925759000000
2010-06-30,312,6428095000000
2010-07-01,299,3743589000000
2010-07-02,254,11455473000000
2010-07-03,301,4705000000000
2010-07-04,230,2690950000000
2010-07-05,258,6204701000000
2010-07-06,213,2778550000000
2010-07-07,240,5693031000000
2010-07-08,240,2442294000000
2010-07-09,285,2157200000000
2010-07-10,251,3040274000000
2010-07-11,471,5618199000000
2010-07-12,3717,263381997000000
2010-07-13,1973,33696832000000
2010-07-14,11468,35035585000000
2010-07-15,1797,11704892000000
2010-07-16,1616,8614404000000
2010-07-17,550,3274788000000
2010-07-18,572,4467009000000
2010-07-19,724,5584975000000
2010-07-20,905,3895234000000
2010-07-21,599,3800454000000
2010-07-22,524,4843162000000
2010-07-23,523,3031479000000
2010-07-24,1307,5319196000000
2010-07-25,3336,5861543000000
2010-07-26,576,9910187000000
2010-07-27,589,4019920000000
2010-07-28,2063,7551053000000
2010-07-29,1971,2806123000000
2010-07-30,404,2926182000000
2010-07-31,347,2558349000000
2010-08-01,446,28205022000000
2010-08-02,467,7566337000000
2010-08-03,977,5183360000000
2010-08-04,569,4578645000000
2010-08-05,717,5170201000000
2010-08-06,497,2593201000000
2010-08-07,327,3302292000000
2010-08-08,518,2028505000000
2010-08-09,554,8686322000000
2010-08-10,406,4342185000000
2010-08-11,482,6653741000000
2010-08-12,493,2655283000000
2010-08-13,738,4581259000000
2010-08-14,493,3025174000000
2010-08-15,344,2726658000000
2010-08-16,609,7652488000000
2010-08-17,419,5644599000000
2010-08-18,527,4403850000000
2010-08-19,415,2715210000000
2010-08-20,538,3922841000000
2010-08-21,437,4732831000000
2010-08-22,432,3101819000000
2010-08-23,445,2842611000000
2010-08-24,465,3184391000000
2010-08-25,428,2671110000000
2010-08-26,435,2474779000000
2010-08-27,356,3724730000000
2010-08-28,433,2512951999150
2010-08-29,312,1670459000000
2010-08-30,422,2128891000090
2010-08-31,553,4935297999650
2010-09-01,525,3660758999740
2010-09-02,402,4253670000010
2010-09-03,403,3805634000000
2010-09-04,326,3907636000000
2010-09-05,384,14545971000000
2010-09-06,337,8350213999840
2010-09-07,327,2624126000000
2010-09-08,435,2589780999660
2010-09-09,430,4091774999820
2010-09-10,468,2302332999800
2010-09-11,379,1821841000000
2010-09-12,488,2741738000030
2010-09-13,576,12572793000010
2010-09-14,538,4044407440528
2010-09-15,596,4836355039648
2010-09-16,531,4553351000000
2010-09-17,420,8569813000000
2010-09-18,464,5547258000000
2010-09-19,433,6158125960352
2010-09-20,598,5170310000000
2010-09-21,1178,3631166000010
2010-09-22,984,5338549000000
2010-09-23,850,13829779000000
2010-09-24,629,3074386000000
2010-09-25,694,4029810000000
2010-09-26,506,3273451000000
2010-09-27,800,4482301000000
2010-09-28,645,9227665503320
2010-09-29,1625,10222176000000
2010-09-30,496,4891503000000
2010-10-01,932,6598338812108
2010-10-02,751,36888684776813
2010-10-03,545,8185503776625
2010-10-04,582,56366289000099
2010-10-05,530,20002178000020
2010-10-06,540,13005146000109
2010-10-07,442,13536909000000
2010-10-08,492,16085463000000
2010-10-09,556,19356391000000
2010-10-10,478,12734813000000
2010-10-11,453,6280871000109
2010-10-12,481,8582395000000
2010-10-13,490,12305179000000
2010-10-14,471,18815955000000
2010-10-15,427,15531649000000
2010-10-16,556,21109089000109
2010-10-17,571,12199174000000
2010-10-18,786,22999617000000
2010-10-19,1395,27843350000000
2010-10-20,1014,21286177000000
2010-10-21,791,19560398776615
2010-10-22,887,13712813000000
2010-10-23,745,5189533000000
2010-10-24,753,11504439000000
2010-10-25,545,16014465000000
2010-10-26,724,19339271000000
2010-10-27,814,21251017000000
2010-10-28,670,19857354000000
2010-10-29,615,9722529000000
2010-10-30,524,7109104000000
2010-10-31,369,7385613000000
2010-11-01,440,5110725000000
2010-11-02,343,7132609000000
2010-11-03,430,6647998000000
2010-11-04,405,16684778108788
2010-11-05,545,5295983000000
2010-11-06,492,13743536000000
2010-11-07,537,10180373000000
2010-11-08,628,51319262000000
2010-11-09,502,6261722000000
2010-11-10,508,6869556000000
2010-11-11,480,5256851000000
2010-11-12,339,4213980000000
2010-11-13,395,4925596000000
2010-11-14,496,4821488000000
2010-11-15,8689,27198771000000
2010-11-16,11783,38788126000000
2010-11-17,533,7443252000000
2010-11-18,1585,7234846108788
2010-11-19,9735,6189882000000
2010-11-20,10042,16490026000000
2010-11-21,10254,13303600000000
2010-11-22,452,3955335000000
2010-11-23,461,4963213000000
2010-11-24,4141,4745908000000
2010-11-25,5201,5965219000000
2010-11-26,1838,9880620000000
2010-11-27,628,3327986000000
2010-11-28,677,3288360000000
2010-11-29,600,4513988000000
2010-11-30,616,6985090000000
2010-12-01,751,6444466000000
2010-12-02,637,7065445000000
2010-12-03,506,3703274000000
2010-12-04,563,7665677197510
2010-12-05,561,3337679000000
2010-12-06,610,10808004613297
2010-12-07,791,9880129434402
2010-12-08,727,4154731528566
2010-12-09,656,5364258727261
2010-12-10,533,3399231000000
2010-12-11,912,8852204702586
2010-12-12,1024,5634107644603
2010-12-13,1045,18574855972450
2010-12-14,973,12486634152496
2010-12-15,916,12277851485908
2010-12-16,771,9339050356946
2010-12-17,644,7138890118798
2010-12-18,759,9123061674275
2010-12-19,801,10722098693557
2010-12-20,1577,9107974700382
2010-12-21,964,11135482959024
2010-12-22,1050,9062330951748
2010-12-23,908,7015965000000
2010-12-24,850,6780630748065
2010-12-25,1039,12099710743052
2010-12-26,950,7728993580871
2010-12-27,808,9981917496207
2010-12-28,1063,6507079395765
2010-12-29,774,11909858258158
2010-12-30,916,7305061238552
2010-12-31,854,6751647335061
2011-01-01,1029,6429612915258
2011-01-02,853,5531398266554
2011-01-03,1628,7540452459217
2011-01-04,1408,4723941683802
2011-01-05,1892,5712641934291
2011-01-06,1074,3903441227034
2011-01-07,1543,6474823689414
2011-01-08,2106,6747699000000
2011-01-09,1811,4643319469134
2011-01-10,1907,9024967856028
2011-01-11,2026,11291282767408
2011-01-12,1664,6752874201638
2011-01-13,1846,12937113360914
2011-01-14,1828,9431497653261
2011-01-15,1589,6490140236939
2011-01-16,1559,7353011639674
2011-01-17,1392,6740733470584
2011-01-18,1379,11193273092255
2011-01-19,1565,6825526370812
2011-01-20,1548,6145284683642
2011-01-21,1990,6967678496434
2011-01-22,2395,7792662632167
2011-01-23,1842,8861942091382
2011-01-24,2261,7818276787557
2011-01-25,1484,6241447306542
2011-01-26,1677,7467976000000
2011-01-27,1395,104320783905919
2011-01-28,1857,5394026000000
2011-01-29,2303,7566696195608
2011-01-30,4844,39819535868042
2011-01-31,2476,19775757982325
2011-02-01,1706,12940634188265
2011-02-02,1502,12172131104348
2011-02-03,1323,7373407801299
2011-02-04,1563,6285019468640
2011-02-05,1378,7857055205963
2011-02-06,1522,8667250152464
2011-02-07,1464,16491819627589
2011-02-08,1397,7507898459986
2011-02-09,2113,13778715482888
2011-02-10,3610,22659481237170
2011-02-11,4219,26121076965499
2011-02-12,3322,14151040615912
2011-02-13,3182,11412255817975
2011-02-14,3512,13997634137725
2011-02-15,3875,10305236395607
2011-02-16,3264,7304148014566
2011-02-17,3890,10518485511344
2011-02-18,3556,12903402368959
2011-02-19,2757,18549599000000
2011-02-20,3408,22570405000000
2011-02-21,3502,23899028000000
2011-02-22,3859,35794932546822
2011-02-23,3942,37170001785377
2011-02-24,3727,22950953769472
2011-02-25,3633,18689717915200
2011-02-26,3361,17878688050574
2011-02-27,3935,20193452855151
2011-02-28,3025,13238350785377
2011-03-01,5010,103980344235377
2011-03-02,3547,244431486058385
2011-03-03,5934,23800355858828
2011-03-04,3402,31354749646452
2011-03-05,3482,14205674702166
2011-03-06,3511,19669927530034
2011-03-07,3380,21774888672242
2011-03-08,4436,19553235944800
2011-03-09,3297,25255380282993
2011-03-10,3018,34410740637837
2011-03-11,3243,25415281032048
2011-03-12,4414,16350227664851
2011-03-13,4048,21101442655063
2011-03-14,3716,21325016431473
2011-03-15,4522,12712049663036
2011-03-16,4544,16054972181285
2011-03-17,4875,16757445677175
2011-03-18,3781,17671404423442
2011-03-19,4717,12491796779295
2011-03-20,6918,14578509960804
2011-03-21,8231,15886579717935
2011-03-22,4032,21065079931854
2011-03-23,7947,26240578356270
2011-03-24,4444,25939216790692
2011-03-25,4379,29384699056670
2011-03-26,6240,32613311930936
2011-03-27,5206,15231661225412
2011-03-28,5798,14390420246612
2011-03-29,5638,11825087122950
2011-03-30,3705,12998052542227
2011-03-31,4429,14725722298476
2011-04-01,3369,8736050827105
2011-04-02,3676,10401547472046
2011-04-03,3840,9015791813374
2011-04-04,4780,15288525486543
2011-04-05,4472,12961883498476
2011-04-06,3820,9341819829749
2011-04-07,3568,11797265516611
2011-04-08,3876,13626174605446
2011-04-09,3698,14939708010000
2011-04-10,3627,9365795868921
2011-04-11,3936,9511265255369
2011-04-12,4391,14648258655755
2011-04-13,4794,18768924387497
2011-04-14,5849,15383198018196
2011-04-15,4045,10788596932730
2011-04-16,4294,35237402122540
2011-04-17,4527,130928684177388
2011-04-18,5980,13577904723494
2011-04-19,7008,265660652425664
2011-04-20,5593,479406239695192
2011-04-21,3951,43907575172482
2011-04-22,4263,16654824424113
2011-04-23,4784,17467533621805
2011-04-24,4525,10973282229587
2011-04-25,5488,10753016103308
2011-04-26,7080,18798588789229
2011-04-27,9123,25670912825509
2011-04-28,6067,15696500428026
2011-04-29,7414,78662411055542
2011-04-30,8684,41370369605385
2011-05-01,7959,17130268506203
2011-05-02,6317,12938631647742
2011-05-03,6639,19774911756508
2011-05-04,6117,28968866349303
2011-05-05,7475,16984360845061
2011-05-06,7285,29173997314969
2011-05-07,8233,23271611804692
2011-05-08,6274,54087973646533
2011-05-09,7998,16461361808782
2011-05-10,7229,57679596924188
2011-05-11,6753,18579074064743
2011-05-12,7407,21634534750924
2011-05-13,8995,46312933213526
2011-05-14,10095,179944718849775
2011-05-15,9207,32265905978212
2011-05-16,12655,29050048595863
2011-05-17,11614,22669136102929
2011-05-18,13551,19539978483870
2011-05-19,12573,19012008130395
2011-05-20,11763,35639142115213
2011-05-21,11140,66495382600531
2011-05-22,12583,89126392756519
2011-05-23,13518,47254504805839
2011-05-24,14173,36932408294082
2011-05-25,16023,39709525580575
2011-05-26,15188,42770514056465
2011-05-27,10751,54463786026192
2011-05-28,12026,23270837175829
2011-05-29,12018,27498189859323
2011-05-30,13928,27689502947569
2011-05-31,13962,28758904324134
2011-06-01,15548,28098079020142
2011-06-02,15452,36332380706145
2011-06-03,18892,62222126623682
2011-06-04,20053,48740848639873
2011-06-05,19309,56397587184292
2011-06-06,22344,83908168911700
2011-06-07,18657,53430444328039
2011-06-08,25537,79687181148425
2011-06-09,29021,78253451414196
2011-06-10,25899,93280062308241
2011-06-11,26322,148795390628885
2011-06-12,29299,184011399222091
2011-06-13,27520,127897156743375
2011-06-14,34917,154893984594030
2011-06-15,30393,424264818480011
2011-06-16,29188,877051867537282
2011-06-17,27196,157640272842995
2011-06-18,29806,126721999642516
2011-06-19,29666,457389555149766
2011-06-20,28858,134373611063141
2011-06-21,26638,332365572837339
2011-06-22,30786,133509693551544
2011-06-23,27364,163487481241216
2011-06-24,26639,478565312424362
2011-06-25,22993,1072513937693247
2011-06-26,22766,405161174987310
2011-06-27,31689,187797991017610
2011-06-28,25377,687164544918705
2011-06-29,24424,278523332260485
2011-06-30,23771,150636772811475
2011-07-01,32297,111779792201330
2011-07-02,33491,87496359318909
2011-07-03,23152,57851962514332
2011-07-04,25088,136335831084648
2011-07-05,22845,41457026436093
2011-07-06,26198,57669471470560
2011-07-07,22247,47223515692044
2011-07-08,24830,31301509668348
2011-07-09,23297,208321275052703
2011-07-10,29193,243221655088744
2011-07-11,26823,101439421271773
2011-07-12,23442,107446526406105
2011-07-13,27203,143591857354407
2011-07-14,29173,193140222728012
2011-07-15,24090,60495542708235
2011-07-16,24994,125589335220156
2011-07-17,24953,57107218046497
2011-07-18,24299,331004672122653
2011-07-19,24319,274163367831262
2011-07-20,25356,55067989223775
2011-07-21,24942,134031003803652
2011-07-22,24089,155905516716812
2011-07-23,21898,61132035357266
2011-07-24,23530,54987409481128
2011-07-25,26772,144200358869779
2011-07-26,23230,118849108742661
2011-07-27,24031,127671278905889
2011-07-28,25217,340029735086568
2011-07-29,22692,69774275239225
2011-07-30,19430,33221326337070
2011-07-31,24638,60302801908705
2011-08-01,23398,54906809999078
2011-08-02,21647,40523264715369
2011-08-03,17450,41584168221148
2011-08-04,19046,32524695611085
2011-08-05,20999,50090405652777
2011-08-06,19259,38546810229894
2011-08-07,19745,37076670919158
2011-08-08,20849,104462676153397
2011-08-09,23816,248802375588873
2011-08-10,20443,114811295555958
2011-08-11,17925,49116261316218
2011-08-12,15782,34515633479120
2011-08-13,18517,31057599664211
2011-08-14,22036,45508146885330
2011-08-15,19256,33997615755700
2011-08-16,22301,36831794190936
2011-08-17,19191,32985691995031
2011-08-18,21201,40748268306731
2011-08-19,21602,56266357005547
2011-08-20,21600,23222174860307
2011-08-21,22326,25089826811619
2011-08-22,24959,28169091140248
2011-08-23,22064,44747142658622
2011-08-24,21373,56639251340674
2011-08-25,22010,38037458672408
2011-08-26,19664,28500665639578
2011-08-27,18811,271159526159788
2011-08-28,17795,18923479514337
2011-08-29,19515,24408458831878
2011-08-30,17681,24418690370287
2011-08-31,16985,27191211932811
2011-09-01,16643,33526793159473
2011-09-02,15739,26113469142115
2011-09-03,14139,23160967159582
2011-09-04,88145,174529841288884
2011-09-05,17988,227354653317067
2011-09-06,17884,315555804074748
2011-09-07,16516,63617135601424
2011-09-08,15496,39487054838177
2011-09-09,17509,40816877536212
2011-09-10,14992,27181325317714
2011-09-11,14552,101985445416211
2011-09-12,15552,62747715396013
2011-09-13,14598,35854361211380
2011-09-14,14563,30261902454442
2011-09-15,14890,29922613064550
2011-09-16,13856,67460686133823
2011-09-17,12328,35419894577762
2011-09-18,14765,29888468405247
2011-09-19,15583,33475533458349
2011-09-20,22031,35352555996724
2011-09-21,16777,39595503099480
2011-09-22,17123,31107882713509
2011-09-23,20002,34513587947771
2011-09-24,18990,23208961923091
2011-09-25,19450,29617972228026
2011-09-26,17317,28518461163435
2011-09-27,17944,43012704963133
2011-09-28,14335,35773917892449
2011-09-29,12649,33378449058292
2011-09-30,12902,29243421181952
2011-10-01,12201,41913693431849
2011-10-02,11530,32224690864130
2011-10-03,14279,40866592012003
2011-10-04,12827,41936899626918
2011-10-05,13391,40755318218453
2011-10-06,13412,53534895960103
2011-10-07,13430,38297458549868
2011-10-08,12442,28346240390798
2011-10-09,12254,30407261158829
2011-10-10,13339,31719609164689
2011-10-11,13550,33306189571592
2011-10-12,13466,32181074304519
2011-10-13,11108,30477607071734
2011-10-14,13231,27735076002233
2011-10-15,12773,38304290219701
2011-10-16,11235,26131732685958
2011-10-17,13354,48605081650701
2011-10-18,11554,34380554735896
2011-10-19,11732,30849795082683
2011-10-20,10585,29847689633819
2011-10-21,11530,56771410076985
2011-10-22,11619,56654447686313
2011-10-23,12380,57097796264981
2011-10-24,13592,36995384511699
2011-10-25,12836,38148474228853
2011-10-26,11891,42984749239344
2011-10-27,10628,50836612530204
2011-10-28,11217,45327989578002
2011-10-29,12487,43956897752972
2011-10-30,10745,21264278014684
2011-10-31,11620,38944242301626
2011-11-01,12129,53983781825627
2011-11-02,12416,40901028706983
2011-11-03,12571,35558785586500
2011-11-04,14507,40049282477578
2011-11-05,12887,29198104898273
2011-11-06,11531,22966689449933
2011-11-07,12037,26928029948489
2011-11-08,13860,112062247408469
2011-11-09,14268,97947657417870
2011-11-10,14941,36164037551447
2011-11-11,11309,30541010766760
2011-11-12,11906,26711399051010
2011-11-13,12277,25002848113237
2011-11-14,13481,35702722826394
2011-11-15,14473,36042693193641
2011-11-16,13193,203232579456675
2011-11-17,11281,328085336612516
2011-11-18,12031,507338166964119
2011-11-19,11209,412670646765030
2011-11-20,11830,154043470252051
2011-11-21,11060,169582321163489
2011-11-22,12674,359480350912683
2011-11-23,12004,156983687520311
2011-11-24,11494,151707478698265
2011-11-25,12567,108852481327342
2011-11-26,10845,160328610774461
2011-11-27,11491,180060823387532
2011-11-28,13219,401383108757460
2011-11-29,14190,394649991271092
2011-11-30,14827,658739832639979
2011-12-01,15186,212433545524813
2011-12-02,14339,549173046548968
2011-12-03,12994,350224042501219
2011-12-04,12524,295008179359470
2011-12-05,14548,296821392696924
2011-12-06,17825,690385650065849
2011-12-07,13360,561024642557291
2011-12-08,13595,459274796940782
2011-12-09,12737,201467479232873
2011-12-10,13393,112916793082080
2011-12-11,12259,86950667271724
2011-12-12,11655,74151509250202
2011-12-13,13196,35443805588290
2011-12-14,13264,43516912979121
2011-12-15,10781,45366171715996
2011-12-16,11152,48414512408748
2011-12-17,11160,36443988256289
2011-12-18,11067,33285435186706
2011-12-19,13691,48536533824397
2011-12-20,13949,53226408646327
2011-12-21,12723,57974900943225
2011-12-22,14082,43847916971642
2011-12-23,13106,27171839627286
2011-12-24,10768,31419109368258
2011-12-25,12592,30662928706860
2011-12-26,13325,70472636401720
2011-12-27,11937,67435614362503
2011-12-28,11712,28339682627803
2011-12-29,12298,50902818217210
2011-12-30,11628,28535904617160
2011-12-31,11335,27053560629749
2012-01-01,12135,34750374607600
2012-01-02,12339,26263043262165
2012-01-03,13538,27074297196559
2012-01-04,12869,40059402587467
2012-01-05,15809,69050716310586
2012-01-06,15147,61291355210102
2012-01-07,13445,31929986470469
2012-01-08,16069,35824175472939
2012-01-09,14303,44903358451113
2012-01-10,15722,39317649097197
2012-01-11,16628,39240617201191
2012-01-12,15206,36366015826160
2012-01-13,15820,41030825604850
2012-01-14,16119,34543077857340
2012-01-15,14126,27575157005743
2012-01-16,17118,43669537891899
2012-01-17,15674,44220141711936
2012-01-18,15501,37764976134686
2012-01-19,16244,40325847841870
2012-01-20,15611,36450109723348
2012-01-21,14632,30733025742482
2012-01-22,12817,27674044018380
2012-01-23,15019,28906715722846
2012-01-24,16559,38466563773518
2012-01-25,18292,42279605051998
2012-01-26,15313,42137733216918
2012-01-27,14760,36085230272307
2012-01-28,14708,25471326477645
2012-01-29,15363,35119284994048
2012-01-30,14990,33359567823981
2012-01-31,16176,34523770770441
2012-02-01,15972,43540761476840
2012-02-02,17550,37686917256432
2012-02-03,17461,38584942296659
2012-02-04,16531,36607134804009
2012-02-05,16050,34610309398566
2012-02-06,14087,32483976775656
2012-02-07,15930,32120267056031
2012-02-08,17238,30964922480306
2012-02-09,17577,27658301721628
2012-02-10,18681,32328686014982
2012-02-11,17373,45810121206539
